short,iata,longname,lon,lat,alt,wmo,isoilflg,istext,sand,clay,slsoc,slph,slcec,sldbd,depth,isoilbc,sldrain,scolour,met.driver,yeara,yearz,iphen
laegern_r4s2,l42,Laegern Region 4 Site 2 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,W,0,90,14,Laegern,2006,2016,-1
laegern_r4s3,l43,Laegern Region 4 Site 2 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,W,0,90,14,Laegern,2006,2016,-1
laegern_r5,l50,Laegern Region 5 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,Z,0,90,14,Laegern,2006,2016,-1
laegern_r5s1,l51,Laegern Region 5 Site 1 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,Z,0,90,14,Laegern,2006,2016,-1
laegern_r5s2,l52,Laegern Region 5 Site 2 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,Z,0,90,14,Laegern,2006,2016,-1
laegern_r5s3,l53,Laegern Region 5 Site 3 CHE,8.397,47.482,853,NA,2,3,-1,-1,0.0266,4.7,0.124,1192,Z,0,90,14,Laegern,2006,2016,-1
leticia,let,Leticia COL,-70.260,-3.800,86,NA,2,8,0.436	0.35,,0.0262,4.3,0.125,1160,H,1,90,14,MERRA2_MSWEP2,1974,2017,-1
macapa,mcp,Macapa AP,-51.09,0.33,16,82099,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
manaus,mao,Manaus AM,-60.02,-3.11,84,82332,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
manaus_bdffp,bdf,Manaus - BDFFP AM,-60.209,-2.609,NA,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
manaus_km34,m34,Manaus - Km34 AM,-60.209,-2.609,NA,NA,2,11,0.2,0.68,0.0156,4.1,0.109,1180,H,1,90,14,Manaus_Km34,1994,2007,-1
mojui_dos_campos,mjs,Mojui dos Campos PA,-54.579,-2.767,128,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
natal,nat,Natal RN,-35.206,-5.837,58,82599,1,1,-1,-1,0.014,5.6,0.142,1370,F,1,90,14,Natal,2004,2013,2
neonita,par,Neonita PA,-47.517,-3.315,122,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
