------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    RUN  IATA       LON      LAT  YEARA  MONTHA  DAYA  TIMEA  YEARZ  MONTHZ  DAYZ  TIMEZ  INIT.MODE  ISCENARIO  ISIZEPFT  IAGE  ISOILFLG  ISTEXT   SAND   CLAY  DEPTH  ISOILBC  SLDRAIN  SCOLOUR  SLZRES        QUEUE             MET.DRIVER  DTLSM  VMFACT.C3  VMFACT.C4  MPHOTO.TRC3  MPHOTO.TEC3  MPHOTO.C4  BPHOTO.BLC3  BPHOTO.NLC3  BPHOTO.C4  KW.GRASS  KW.TREE  GAMMA.C3  GAMMA.C4  D0.GRASS  D0.TREE  ALPHA.C3  ALPHA.C4  KLOWCO2  DECOMP.SCHEME  RRFFACT  GROWTHRESP  LWIDTH.GRASS  LWIDTH.BLTREE  LWIDTH.NLTREE  Q10.C3  Q10.C4  H2O.LIMIT  IMORT.SCHEME    CBR.SCHEME  DDMORT.CONST  ISFCLYRM  ICANTURB  UBMIN  UGBMIN  USTMIN  GAMM  GAMH  TPRANDTL  RIBMAX  ATMCO2  THCRIT     SM.FIRE  IFIRE  FIRE.PARM  IPERCOL  RUNOFF.TIME  IMETRAD  IBRANCH  ICANRAD  CROWN.MOD  LTRANS.VIS  LREFLECT.VIS  LTRANS.NIR  LREFLECT.NIR  ORIENT.TREE  ORIENT.GRASS  CLUMP.TREE  CLUMP.GRASS  IVEGTDYN  IGNDVAP  IPHEN  IALLOM  IBIGLEAF  IREPRO  TREEFALL
             cajazeiras   cjz    -38.57     -6.9   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
               calabozo   clz    -67.42     8.92   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
               canarana   qnr    -52.25   -13.56   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
                carajas   cks   -50.722   -5.786   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
                cardoso   czi    -48.01  -25.096   1964      01    01   0000   2009      01    01   0000          6    default         0    20         2       1   0.95   0.01      C        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0     -1       2         0       2    0.0125
               carolina   cln   -47.467   -7.333   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
               caxiuana   cax   -51.458    -1.72   1994      01    01   0000   2004      01    01   0000          6    default         0    20         2       1   0.38   0.44      D        2        6       14       0  long_serial               Caxiuana    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0     -1       2         0       2    0.0125
                cayenne   cay   -52.367    4.833   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
                chaiten   wch     -72.5    -42.5   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
         ciudad_bolivar   cbl    -63.55     8.15   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
